更新区分,品目コード,品名,品名カナ,JANコード,発注コード,基本品目,ブランド名称,販売単価,受注数,単品単位数量単位,入数,メーカーコード,メーカー名,大分類,大分類テキスト,中分類,中分類テキスト,小分類,小分類テキスト,原産国（名称）,質量,質量単位,特長,用途,仕様,仕様２,材質／仕上,セット内容／付属品,注意,後継品,送料無料フラグ,税区分,税率
I,K000004344,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BC ワンタッチ接続型 BC-8310R K000004344,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BC ワンタッチセツゾクガタ BC-8310R,,K000004344,,ASOH,4500,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,549,エースボール RV（黄銅製） 8000シリーズ （アングル型） BC ワンタッチ接続型,日本,124,g,一次側がテーパー(PT)外ネジ、二次側はウレタンチューブやナイロンチューブに接続可能なボールバルブ 。【特長】・ワンタッチで接続可能。・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■【用途】・狭い場所での接続に便利。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/8B(10A)/二次側(制御側)接続種類D:[樹脂チューブ接続] ワンタッチ接続型/二次側(制御側)チューブ外径D(φ):10/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行3.5×高さ6.6㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004395,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BH ホースニップル一体型 BH-8106R K000004395,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BH ホースニップルイッタイガタ BH-8106R,,K000004395,,ASOH,3320,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,550,エースボール RV（黄銅製） 8000シリーズ （アングル型） BH ホースニップル一体型,日本,93,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/8B(6A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):6/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行3.8×高さ6.6㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004396,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BH ホースニップル一体型 BH-8208R K000004396,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BH ホースニップルイッタイガタ BH-8208R,,K000004396,,ASOH,3320,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,550,エースボール RV（黄銅製） 8000シリーズ （アングル型） BH ホースニップル一体型,日本,98,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):8/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行4×高さ6.6㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004397,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BH ホースニップル一体型 BH-8209R K000004397,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BH ホースニップルイッタイガタ BH-8209R,,K000004397,,ASOH,3320,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,550,エースボール RV（黄銅製） 8000シリーズ （アングル型） BH ホースニップル一体型,日本,98,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):9/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行4×高さ6.6㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,M000000217,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BH ホースニップル一体型 BH-8310R M000000217,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BH ホースニップルイッタイガタ BH-8310R,,M000000217,,ASOH,3180,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,550,エースボール RV（黄銅製） 8000シリーズ （アングル型） BH ホースニップル一体型,日本,110,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/8B(10A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):10.5/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:黄銅(Crメッキ付),,本体サイズ：幅1.7×奥行4.2×高さ6.6㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004407,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BM 外・内ネジ型 BM-8011R K000004407,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BM ソト・ウチネジガタ BM-8011R,,K000004407,,ASOH,3220,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,551,エースボール RV（黄銅製） 8000シリーズ （アングル型） BM 外・内ネジ型,日本,94,g,一次側がテーパー(PT)外ネジ、二次側が平行(PF)内ネジの配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/8B(6A)/二次側(制御側)接続種類D:G(PF)/二次側(制御側)取付ネジ呼びD(φ):1/8B(6A)/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行2.5×高さ6.6㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004408,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BM 外・内ネジ型 BM-8022R K000004408,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BM ソト・ウチネジガタ BM-8022R,,K000004408,,ASOH,3220,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,551,エースボール RV（黄銅製） 8000シリーズ （アングル型） BM 外・内ネジ型,日本,97,g,一次側がテーパー(PT)外ネジ、二次側が平行(PF)内ネジの配管用バルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定可能。■RoHS対応品■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:G(PF)/二次側(制御側)取付ネジ呼びD(φ):1/4B(8A)/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行2.4×高さ2.9㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004434,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BR 銅管用リング型 BR-8106 K000004434,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BR ドウカンヨウリングガタ BR-8106,,K000004434,,ASOH,3320,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,552,エースボール RV（黄銅製） 8000シリーズ （アングル型） BR 銅管用リング型,日本,113,g,一次側がテーパー(PT)外ネジ、二次側はリング式の銅管固定用ボールバルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定できる。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/8B(6A)/二次側(制御側)接続種類D:[金属管接続] 銅管用リング型/二次側(制御側)適用管外径D(φ):6/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行3.2×高さ6.6㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004435,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BR 銅管用リング型 BR-8208 K000004435,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BR ドウカンヨウリングガタ BR-8208,,K000004435,,ASOH,3320,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,552,エースボール RV（黄銅製） 8000シリーズ （アングル型） BR 銅管用リング型,日本,115,g,一次側がテーパー(PT)外ネジ、二次側はリング式の銅管固定用ボールバルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定できる。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/4B(8A)/二次側(制御側)接続種類D:[金属管接続] 銅管用リング型/二次側(制御側)適用管外径D(φ):8/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行3.3×高さ6.6㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004436,アソー(株) ASOH   エースボール RV(黄銅製) 8000シリーズ (アングル型) BR 銅管用リング型 BR-8310 K000004436,エースボール RV(オウドウセイ) 8000シリーズ (アングルガタ) BR ドウカンヨウリングガタ BR-8310,,K000004436,,ASOH,3430,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,552,エースボール RV（黄銅製） 8000シリーズ （アングル型） BR 銅管用リング型,日本,139,g,一次側がテーパー(PT)外ネジ、二次側はリング式の銅管固定用ボールバルブ。【特長】・バルブ本体と、取付部が独立して回転。・セット角度と取付口が、自由に設定できる。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/8B(10A)/二次側(制御側)接続種類D:[金属管接続] 銅管用リング型/二次側(制御側)適用管外径D(φ):10/ボア径 d(φ):6/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅] C3771BE,,本体サイズ：幅1.7×奥行3.5×高さ3.7㎝,,C3771BD,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004369,アソー(株) ASOH   エースボール Zero(黄銅製) BH ホースニップル一体型 BH-0414 K000004369,エースボール Zero(オウドウセイ) BH ホースニップルイッタイガタ BH-0414,,K000004369,,ASOH,4070,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,553,エースボール Zero（黄銅製） BH ホースニップル一体型,日本,200,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・ホースに対応するサイズが豊富。・ホースバンドで締め付けることで、ホースの固定を図る。・エアーコックの代用にも信頼性の高いボールバルブで、使用可能。・接続の省力化、流体抵抗極少、優れた機能美、豊富なバリエーション。■【用途】・あらゆる油、空圧機器に、水道・給湯などの設備配管に。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/2B(15A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):14/ボア径 d(φ):10/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅]C3771BE,,本体サイズ：幅2.5×奥行7.25×高さ4㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004370,アソー(株) ASOH   エースボール Zero(黄銅製) BH ホースニップル一体型 BH-0416 K000004370,エースボール Zero(オウドウセイ) BH ホースニップルイッタイガタ BH-0416,,K000004370,,ASOH,4070,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,553,エースボール Zero（黄銅製） BH ホースニップル一体型,日本,211,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・ホースに対応するサイズが豊富。・ホースバンドで締め付けることで、ホースの固定を図る。・エアーコックの代用にも信頼性の高いボールバルブで、使用可能。・接続の省力化、流体抵抗極少、優れた機能美、豊富なバリエーション。■【用途】・あらゆる油、空圧機器に、水道・給湯などの設備配管に。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/2B(15A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):16/ボア径 d(φ):10/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅]C3771BE,,本体サイズ：幅2.5×奥行7.25×高さ4㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004371,アソー(株) ASOH   エースボール Zero(黄銅製) BH ホースニップル一体型 BH-0440 K000004371,エースボール Zero(オウドウセイ) BH ホースニップルイッタイガタ BH-0440,,K000004371,,ASOH,4070,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,553,エースボール Zero（黄銅製） BH ホースニップル一体型,日本,196,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・ホースに対応するサイズが豊富。・ホースバンドで締め付けることで、ホースの固定を図る。・エアーコックの代用にも信頼性の高いボールバルブで、使用可能。・接続の省力化、流体抵抗極少、優れた機能美、豊富なバリエーション。■【用途】・あらゆる油、空圧機器に、水道・給湯などの設備配管に。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:1/2B(15A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):12.7/ボア径 d(φ):10/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅]C3771BE,,本体サイズ：幅2.5×奥行7.25×高さ4㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
I,K000004372,アソー(株) ASOH   エースボール Zero(黄銅製) BH ホースニップル一体型 BH-0620 K000004372,エースボール Zero(オウドウセイ) BH ホースニップルイッタイガタ BH-0620,,K000004372,,ASOH,4820,1,,,,アソー(株),daidoKKK,配管部品,kkk06,ボールバルブ,553,エースボール Zero（黄銅製） BH ホースニップル一体型,日本,273,g,一次側がテーパー(PT)外ネジ、二次側がホース接続の配管用バルブ。【特長】・ホースに対応するサイズが豊富。・ホースバンドで締め付けることで、ホースの固定を図る。・エアーコックの代用にも信頼性の高いボールバルブで、使用可能。・接続の省力化、流体抵抗極少、優れた機能美、豊富なバリエーション。■【用途】・あらゆる油、空圧機器に、水道・給湯などの設備配管に。■一次側(供給側)接続種類A:R(PT)/一次側(供給側)取付ネジ呼びA:3/4B(20A)/二次側(制御側)接続種類D:[ホース接続]ホースニップル一体型/竹の子外径D(mm):20.5/ボア径 d(φ):13/使用温度範囲(℃):-10~80/使用圧力:0.98MPa以下/本体材質:[黄銅]C3771BE,,本体サイズ：幅2.8×奥行8.1×高さ4.1㎝,,C3771B,,画像は代表画像です。「商品名」「特徴」「使用」等をご確認ください。,,1,1,10
